sample_id,class_name,experiment,severity,condition,method,trial,iou,dice,sam_score,pred_pixels,target_pixels,device
sample_005,sheep,modality,clean,point_only,sam_vit_b,0,0.931172,0.964360,0.934364,49290,51326,cuda
sample_005,sheep,modality,clean,box_only,sam_vit_b,0,0.942051,0.970161,0.990462,50521,51326,cuda
sample_005,sheep,modality,clean,point_box,sam_vit_b,0,0.873784,0.932641,0.974893,55416,51326,cuda
sample_005,sheep,noise_decomposition,clean,clean,sam_single_prompt,0,0.873784,0.932641,0.974893,55416,51326,cuda
sample_005,sheep,noise_decomposition,mild,point_noise,sam_single_prompt,0,0.926110,0.961638,0.987358,51979,51326,cuda
sample_005,sheep,noise_decomposition,mild,point_noise,sam_single_prompt,1,0.890101,0.941856,0.973767,54170,51326,cuda
sample_005,sheep,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.929404,0.963411,0.968570,49304,51326,cuda
sample_005,sheep,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.934704,0.966250,0.979690,49801,51326,cuda
sample_005,sheep,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.858275,0.923733,0.968061,55326,51326,cuda
sample_005,sheep,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.931882,0.964740,0.962394,49752,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,0,0.858275,0.923733,0.968061,55326,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_score_select,0,0.857427,0.923242,0.984195,55998,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,0,0.941138,0.969677,0.967288,50378,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,0,0.936107,0.966999,0.967288,50732,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,0,0.941138,0.969677,0.967663,50378,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,1,0.931882,0.964740,0.962394,49752,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_score_select,1,0.859187,0.924261,1.003207,56280,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,1,0.929088,0.963241,0.967911,49546,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,1,0.931218,0.964384,0.967911,49781,51326,cuda
sample_005,sheep,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,1,0.931882,0.964740,0.962394,49752,51326,cuda
sample_005,sheep,noise_decomposition,moderate,point_noise,sam_single_prompt,0,0.927058,0.962149,0.985676,52026,51326,cuda
sample_005,sheep,noise_decomposition,moderate,point_noise,sam_single_prompt,1,0.873495,0.932477,0.974416,55437,51326,cuda
sample_005,sheep,noise_decomposition,moderate,box_noise,sam_single_prompt,0,0.933909,0.965825,0.972075,49597,51326,cuda
sample_005,sheep,noise_decomposition,moderate,box_noise,sam_single_prompt,1,0.936380,0.967145,0.966494,51794,51326,cuda
sample_005,sheep,noise_decomposition,moderate,point_box_noise,sam_single_prompt,0,0.860217,0.924856,0.976613,56308,51326,cuda
sample_005,sheep,noise_decomposition,moderate,point_box_noise,sam_single_prompt,1,0.283289,0.441505,0.878718,15346,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,0,0.860217,0.924856,0.976613,56308,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,0,0.859916,0.924683,0.995730,56352,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,0,0.860217,0.924856,0.979982,56308,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,0,0.860888,0.925244,0.979982,56278,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,0,0.933876,0.965807,0.977481,50158,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,1,0.283289,0.441505,0.878718,15346,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,1,0.294075,0.454495,0.922082,21973,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,1,0.714004,0.833141,0.894744,37228,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,1,0.618957,0.764637,0.894744,32468,51326,cuda
sample_005,sheep,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,1,0.714004,0.833141,0.919392,37228,51326,cuda
sample_006,tvmonitor,modality,clean,point_only,sam_vit_b,0,0.533848,0.696090,0.947083,27404,51333,cuda
sample_006,tvmonitor,modality,clean,box_only,sam_vit_b,0,0.982626,0.991237,0.997110,51028,51333,cuda
sample_006,tvmonitor,modality,clean,point_box,sam_vit_b,0,0.973765,0.986708,0.988471,50608,51333,cuda
