method,class_name,target_area_quartile,iou,dice
center_color,motorbike,Q4,0.4653619230769231,0.6129068461538462
center_color,person,Q1,0.49155313333333334,0.6442275555555556
center_color,person,Q2,0.5257198333333333,0.6764941833333334
center_color,person,Q3,0.5264211269841269,0.6680076190476191
center_color,person,Q4,0.5356846229508196,0.6735401803278689
center_color,pottedplant,Q1,0.5615976153846154,0.6987785384615385
center_color,pottedplant,Q2,0.4755842857142857,0.6353718571428572
center_color,pottedplant,Q3,0.5981605,0.733727625
center_color,pottedplant,Q4,0.5950326666666667,0.7451976666666665
center_color,sheep,Q1,0.5675974,0.7005305
center_color,sheep,Q2,0.6069312666666666,0.7422571333333333
center_color,sheep,Q3,0.5792369166666667,0.7200689166666666
center_color,sheep,Q4,0.5203814285714286,0.6701404285714286
center_color,sofa,Q1,0.5924715714285714,0.7291135714285714
center_color,sofa,Q2,0.668516761904762,0.7898104285714286
center_color,sofa,Q3,0.7242887619047619,0.8310816666666667
center_color,sofa,Q4,0.6352905,0.7625565
center_color,train,Q1,0.5591579999999999,0.7024508181818182
center_color,train,Q2,0.445975,0.5869740833333333
center_color,train,Q3,0.5759735,0.70932659375
center_color,train,Q4,0.5910762222222222,0.7151191851851851
center_color,tvmonitor,Q1,0.7063056153846153,0.8193863076923077
center_color,tvmonitor,Q2,0.5889841666666666,0.7257539999999999
center_color,tvmonitor,Q3,0.7674778,0.8615778000000001
center_color,tvmonitor,Q4,0.6075186666666667,0.7393763333333333
grabcut_point_box,aeroplane,Q1,0.620265724137931,0.7448297931034482
grabcut_point_box,aeroplane,Q2,0.7412276388888889,0.8333788333333333
grabcut_point_box,aeroplane,Q3,0.6883102941176471,0.7757624117647058
grabcut_point_box,aeroplane,Q4,0.6861778571428572,0.7999181428571429
grabcut_point_box,bicycle,Q1,0.1914071,0.29383455
grabcut_point_box,bicycle,Q2,0.2251019375,0.3585346875
grabcut_point_box,bicycle,Q3,0.1399,0.24546
grabcut_point_box,bicycle,Q4,0.0,0.0
grabcut_point_box,bird,Q1,0.5611644893617022,0.6314370212765957
grabcut_point_box,bird,Q2,0.7967097307692307,0.868372
grabcut_point_box,bird,Q3,0.8453832666666667,0.9122498666666666
grabcut_point_box,bird,Q4,0.8601664285714286,0.9160802857142858
grabcut_point_box,boat,Q1,0.646872552631579,0.7420261842105264
grabcut_point_box,boat,Q2,0.7119310769230769,0.8170643076923076
grabcut_point_box,boat,Q3,0.77434575,0.86646725
grabcut_point_box,boat,Q4,0.7422869999999999,0.8457115
grabcut_point_box,bottle,Q1,0.49113572727272725,0.574301090909091
grabcut_point_box,bottle,Q2,0.7300197142857143,0.8155634285714285
